Word,Transliteration,English_Translation
गरीबी,garībī,poverty
आन्दोलन,āndolan,Movement
विद्या,vidyā,Knowledge
पारिवारिक,pārivārik,Family
तोड़,toṛ,the break
चीजें,cījẽ,Things
कठोर,kaṭhor,Harsh
अनुपात,anupāt,Ratio
हरियाणा,hariyāṇā,Haryana
सम्पन्न,sampanna,Rich
विधान,vidhān,Legislation
राय,rāy,Opinion
तुरन्त,turant,Immediately
आपस,āpas,Utterance
अधीन,adhīn,under
शिक्षक,śikṣak,Teacher
विजय,vijay,Victory
लेख,lekh,Article
महोदय,mahoday,Sir
भी,bhī,Too
फरवरी,pharavrī,February
पित्त,pitt,Bile
प्रत्यक्ष,pratyakṣ,direct
तर्क,tark,logic
जेल,jel,Jail
चुपचाप,cupcāp,silent
करा,karā,Kara
अनुकूल,anukūl,Friendly
विष्णु,viṣṇu,Vishnu
यों,yõ,Like
भूख,bhūkh,hunger
बांस,bāns,bamboo
बनता,bantā,Manufacture
बनकर,bankar,be made
बैठकर,baiṭhkar,Seated
पात्र,pātra,character
पूर्वी,pūrvī,East
कठिनाई,kaṭhināī,Difficulty
इत्यादि,ityādi,And so on
सदस्यों,sadasyõ,Members
मूत्र,mūtra,Urine
भरा,bharā,full
बुरा,burā,bad
घोषणा,ghoṣṇā,Announcement
खोल,khol,Shell
खुश,khuś,Happy 
खेतों,khetõ,Fields
कोश,koś,Thesaurus
उपस्थित,upasthit,Present
अभिव्यक्ति,abhivyakti,Expression
श्रेष्ठ,śreṣṭh,Best 
नाग,nāg,snake
नाक,nāk,nose
जाता,jātā,go
छूट,chūṭ,Discount
घरों,gharõ,Houses
खून,khūn,Blood
करेगा,karegā,Will do
उतार,utār,Unloaded
अपराध,aprādh,Crime
अधिनियम,adhiniyam,Act
साहस,sāhas,Bravery
सर्वप्रथम,sarvapratham,the very first
पढ़ाई,paṛhāī,studies
दिखायी,dikhāyī,Visible
दुख,dukh,Sadness
अगस्त,agast,august
साथी,sāthī,partner
सक्रिय,sakriy,Active
पढ़ने,paṛhne,Reading
पढ़,paṛh,Read
चालू,cālū,Working
आधा,ādhā,half
समितियों,samitiyõ,Committees
सूची,sūcī,List
विवेचन,vivecan,Deliberation
मनोविज्ञान,manovigyān,Psychology
पहुंचे,pahuñce,Reached
पुस्तकें,pustakẽ,Books
किशोरी,kiśorī,teenager
इस्पात,ispāt,steel
सामना,sāmnā,Cope
व्याख्या,vyākhyā,Explanation
फुट,phuṭ,Foot
दिमाग,dimāg,Brain
कर्मचारी,karmacārī,Employee
असर,asar,Impact
अफसर,aphsar,Officer
सतह,satah,surface
विचित्र,vicitra,Weird
बैल,bail,Bull
तहत,tahat,Under
केन्द्रों,kendrõ,Centers
अम्ल,amla,Acid
संरक्षण,sãrakṣaṇ,Protection
सुनने,sunne,Listen
वाणी,vāṇī,Voice
लोहे,lohe,Iron
यंत्र,yantra,Machine
भाषाविज्ञान,bhāṣāvigyān,language science
बोलने,bolne,Speaking
बोध,bodh,Perception
प्रकाशन,prakāśan,Publication
दादा,dādā,Grandfather
टूट,ṭūṭ,break
चरक,carak,Charak
खाते,khāte,Account
कान,kān,Ear
उद्योगों,udyogõ,Industries
आक्रमण,ākramaṇ,Invasion
अंग्रेजों,aṅgrejõ,British
संभावना,sambhāvnā,Possibility
यथा,yathā,As
भेजा,bhejā,Sent
बनाते,banāte,Create
नरेश,nareś,Naresh
दो,do,Two
चोरी,corī,Theft
चित्रकार,citrakār,Painter
कहे,kahe,saying
स्वतन्त्र,svatantra,Independent
सूरज,sūraj,Sun
सूक्ष्म,sūkṣma,Micro
विशेषता,viśeṣtā,Speciality
लिख,likh,Write
मास,mās,Mass
पंचायत,pañcāyat,jury
चरण,caraṇ,phase
गली,galī,Street
खुले,khule,Open
कुर्सी,kursī,Chair
सन्दर्भ,sandarbh,Reference
स्त्रोत,strot,Source
वर्गीकरण,vargīkraṇ,Classification
महाभारत,mahābhārat,Mahabharata
फैल,phail,Split
पेश,peś,Present
प्रौद्योगिकी,praudyogikī,Technology
पुराण,purāṇ,Purana
निर्धारण,nirdhāraṇ,Determination
चीन,cīn,China
शिकायत,śikāyat,Complaint
विद्यालय,vidyālay,School
वस्तुतः,vastutaḥ,Virtually
लाया,lāyā,brought
बहन,bahan,Sister
पक्षी,pakṣī,Bird
निर्यात,niryāt,Export
ना,nā,No
जाये,jāye,Go
ज्यों,jyõ,As
चक्कर,cakkar,dizzy
गोली,golī,Gun Shot
कल्याण,kalyāṇ,welfare
क्रोध,krodh,Anger
कराया,karāyā,Done
इंका,iṅkā,Inka
सीधा,sīdhā,Straight
संचार,sañcār,Communications
विरुद्ध,viruddh,against
विद्वानों,vidvānõ,Scholars
लम्बे,lambe,Long
भुगतान,bhugtān,Payment
तुझे,tujhe,You
चयन,cayan,Selection
घोड़े,ghoṛe,Horses
उच्चारण,uccāraṇ,Pronunciation
सोने,sone,Gold
मौका,maukā,Opportunity
मोटे,moṭe,fatty
भाषण,bhāṣaṇ,speech
निकला,niklā,Out
देवताओं,devtāõ,Gods
उत्पत्ति,utpatti,Produce
शहरी,śahrī,urban
शक्ति,śakti,Power
राष्ट्रपति,rāṣṭrapti,President
महाराज,mahārāj,Maharaj
मन्दिर,mandir,Mandir
इन्द्र,indra,Indra
अपेक्षित,apekṣit,expected
अंतर्गत,antargat,Under
अजीब,ajīb,Strange
संस्कार,sanskār,rites
समाधान,samādhān,Solution
शूल,śūl,Shool
लिखे,likhe,Wrote
रहेगा,rahegā,Will remain
रमेश,rameś,Ramesh
जड़,jaṛ,Root
अधिगम,adhigam,Learning
सर्वाधिक,sarvādhik,Most
मानता,māntā,agrees
मन्त्री,mantrī,Minister
बाढ़,bāṛh,flood
बजट,bajaṭ,Budget
नुकसान,nuksān,Loss
थोड़े,thoṛe,A little
जाल,jāl,Net
जानने,jānne,Learn
कम्पनी,kampanī,Company
कक्ष,kakṣ,Chamber
उपकरणों,upkarṇõ,Devices
उत्पन्न,utpanna,Yield
उठकर,uṭhkar,By getting up
इसको,isko,It
साम्राज्य,sāmrājya,Empire
संशोधन,sanśodhan,Amendment
राजाओं,rājāõ,Kings
पसन्द,pasand,Pus
छात्रों,chātrõ,Students
गहरा,gahrā,deep
किलोग्राम,kilogrām,Kilogram
कालेज,kālej,College
उल्लेखनीय,ullekhnīya,Remarkable
उपलब्धि,uplabdhi,achievement
उत्साह,utsāh,Excitement
मजदूर,majdūr,laborer
प्रार्थना,prārthanā,Prayer
छिड़काव,chiṛkāv,Spraying
समुदाय,samudāy,community
शोथ,śoth,Inflammation
लोरिक,lorik,Lorik
बौद्ध,bauddh,Buddhist
बाग,bāg,Garden
बचा,bacā,Left out
पहाड़ी,pahāṛī,Hill
प्रोत्साहन,protsāhan,Incentive
प्रबल,prabal,Predominant
पदार्थों,padārthõ,Substances
पूंजी,pūñjī,capital
जगत,jagat,Universe
घोल,ghol,Slurry
एकता,ektā,Unity
सोचने,socne,Thinking
सामान्यतः,sāmānyataḥ,Generally
स्वतंत्रता,svatantratā,Freedom
वित्तीय,vittīya,financial
मानकर,mānkar,Assuming
भौतिक,bhautik,Physical
पाठ्यक्रम,pāṭhyakram,Syllabus
परिणामस्वरूप,pariṇāmasvarūp,the resulting
पर्वत,parvat,Mountain
तलाश,talāś,seek
गोद,god,Lap
गांधीजी,gāndhījī,Gandhiji
का,kā,Of
अन्तर्राष्ट्रीय,antarrāṣṭrīya,International
सहन,sahan,Tolerate
शेर,śer,Lion
वैसा,vaisā,Like this
वस्त्र,vastra,Clothes
लक्ष्मी,lakṣmī,Laxmi
रूक,rūk,Stroke
मुक्ति,mukti,Freedom
प्रोटीन,proṭīn,Protein
चलकर,calkar,By walking
गंभीर,gambhīr,Serious
आधी,ādhī,Half
अंकन,aṅkan,Marking
हिंदी,hindī,Hindi
शान्त,śānt,Calm
शांति,śānti,Calmness
वर्गों,vargõ,Classes
वृक्षों,vŕkṣõ,Trees
रोगों,rogõ,Diseases
बम्बई,bambaī,Bombay
प्रथा,prathā,custom
चीजों,cījõ,Things
अतएव,ataev,So
सकती,saktī,Can
महिलाओं,mahilāõ,Women
बाह्य,bāhya,External
प्रेरित,prerit,Inspired
निहित,nihit,vested
दिखाया,dikhāyā,Shown
डालने,ḍālne,Pouring
डेढ़,ḍeṛh,One and a half
गैर,gair,Non
सम्पत्ति,sampatti,Property
श्रद्धा,śraddhā,Admiration
वार्ता,vārtā,Dialogue
लड़कों,laṛkõ,Boys
मानने,mānne,To accept
मुझ,mujh,Me
नमक,namak,Salt
छवि,chavi,image
चाचा,cācā,Uncle
चलो,calo,Let us go
करेगा,karegā,Will do
हिमाचल,himācal,Himachal
स्मिता,smitā,Smita
स्थल,sthal,Site
रखती,rakhtī,Keeps
रकम,rakam,Amount
पहुंचने,pahuñcne,Reach
नाना,nānā,Grandfather
दरवाजा,darvājā,Door
दुकान,dukān,Shop
ठोस,ṭhos,Solid
जेब,jeb,Pocket
चिन्तन,cintan,Thinking
गर्मी,garmī,Heat
खरीद,kharīd,Purchase
क्रांति,krānti,Revolution
ऋतु,ŕtu,Season
सुनाई,sunāī,Hearing
विद्यालयों,vidyālyõ,Schools
लिखने,likhne,Write
लखनऊ,lakhnaū,Lucknow
राग,rāg,melody
बरस,baras,Year
ब्रज,braj,Braj
पश्चात,paścāt,After
डाली,ḍālī,branch
गृह,gŕh,home
अकाली,akālī,Akali
सावधानी,sāvdhānī,Caution
सेवन,sevan,Consumption
स्वतन्त्रता,svatantratā,Independence
शून्य,śūnya,Zero
विद्यार्थियों,vidyārthiyõ,students
मोटी,moṭī,fat
भ्रष्टाचार,bhraṣṭācār,Corruption
देह,deh,Body
तेरे,tere,Your
कार्रवाई,kārravāī,Action
कार्यवाही,kāryavāhī,Proceeding
इस्लाम,islām,Islam
आश्रम,āśram,Hermitage
आकर्षण,ākarṣaṇ,Attraction
हिस्से,hisse,Part
सम्राट,samrāṭ,King
परेशान,pareśān,Worried
परम्परागत,paramparāgat,Traditional
दिसम्बर,disambar,December
जनसंख्या,jansaṅkhyā,population
घोषित,ghoṣit,Declared
ऋषि,ŕṣi,Sage
अखबार,akhbār,Newspaper
रूपों,rūpõ,Forms
भस्म,bhasma,Ash
बगल,bagal,Next
परिस्थिति,paristhiti,Situation.
निगम,nigam,Corporation
नारायण,nārāyaṇ,Narayan
तुरंत,turant,Immediately
ढोला,ḍholā,Dhola
डालकर,ḍālkar,By putting
चावल,cāval,Rice
गणेश,gaṇeś,Ganesh
कार्यक्रमों,kāryakramõ,Programs
उठी,uṭhī,Got up
ईश्वर,īśvar,God
आतंकवादी,ātaṅkvādī,Terrorist
आँख,ā̃kh,eye
अदालत,adālat,court
होटल,hoṭal,hotel
हार,hār,Garland
हजारों,hajārõ,Thousands
संदेह,sandeh,Doubt
संक्षिप्त,saṅkṣipt,Short
विद्वान,vidvān,Scholar
व्रत,vrat,Fast
महत्व,mahatva,Importance
भयंकर,bhayaṅkar,Terrifying
बेहतर,behtar,better
ब्रिटिश,briṭiś,British
प्रिय,priy,Dear
नियुक्त,niyukt,Appointed
गम्भीर,gambhīr,Serious
उक्त,ukt,Deepent
अमल,amal,Execution
हवाई,havāī,Airport
हरे,hare,Green
स्वर्णमंदिर,svarṇamandir,Golden Temple
ली,lī,Took
मामला,māmlā,Case
मछली,machlī,fish
बचपन,bacpan,Childhood
बैंकों,baiṅkõ,Banks
पान,pān,Paan
प्राण,prāṇ,Life
प्रतिक्रिया,pratikriyā,feedback
जीवाणु,jīvāṇu,Bacteria
छाती,chātī,Chest
गढ़वाल,gaṛhvāl,Garhwal
खुला,khulā,open
कार,kār,car
क्रियाओं,kriyāõ,Actions
अम्मा,ammā,Mother
अंगों,aṅgõ,Organs
सन्देह,sandeh,Doubt
विवाद,vivād,Controversy
लड़कियों,laṛkiyõ,Girls
बाहरी,bāhrī,external
बारी,bārī,Turn
प्लेग,pleg,plague
पुरुष,puruṣ,Male
दोपहर,dophar,Afternoon
तमिल,tamil,Tamil
चौधरी,caudhrī,Chowdhary
आचरण,ācraṇ,Behaviour
अनाज,anāj,Cereal
ही,hī,Sole
सिरे,sire,Tip
साढ़े,sāṛhe,Half -and -a -half
संयोग,sãyog,coincidence
विमर्श,vimarś,Discourse
विधियों,vidhiyõ,Methods
व्यावहारिक,vyāvhārik,practical
वचन,vacan,Promise
रात्रि,rātri,Night
भावों,bhāvõ,Gesture
भेंट,bheṇṭ,Gift
बुआई,buāī,Sowing
पैरों,pairõ,Legs
पुराना,purānā,Old
प्रतीक्षा,pratīkṣā,Wait
पत्रों,patrõ,Papers
पड़ेगा,paṛegā,Will have
जाओ,jāo,Go
किस्मों,kismõ,Varieties
किन,kin,Kin
उठे,uṭhe,Got up
आचार्य,ācārya,Teacher
आई,āī,I
अफ्रीका,aphrīkā,Africa
अतीत,atīt,past
हल्के,halke,Mild
सागर,sāgar,Sea
शाह,śāh,Shah
शान्ति,śānti,Peace
विदेश,videś,Foreign
वजन,vajan,Weight
लाखों,lākhõ,Millions
प्रारंभ,prārambh,Start
प्राणियों,prāṇiyõ,Creatures
निर्देश,nirdeś,Instruction
दावा,dāvā,Claim
दे,de,Give
चाहा,cāhā,Wanted
उदास,udās,Downhearted
उत्तरी,uttarī,Northern
असली,aslī,Real
हिम्मत,himmat,Courage
हरी,harī,Green
स्नेह,sneh,affection
शासक,śāsak,ruler
बदले,badle,Change
बचाने,bacāne,Save
प्रतिनिधि,pratinidhi,Representative
दरअसल,daraasal,In fact
देखभाल,dekhbhāl,Care
तने,tane,Stem
जानती,jāntī,Knowing
केंद्र,kendra,Center
औषधि,auṣdhi,Medicine
उत्सव,utsav,Celebration
इनसे,inse,from these
साथियों,sāthiyõ,Peer
संसाधन,sansādhan,resources
सदन,sadan,House
सूखे,sūkhe,Dried
संकल्प,saṅkalp,Resolution
शक्तिशाली,śaktiśālī,Powerful
व्यर्थ,vyarth,Useless
मिश्रण,miśraṇ,Mixture
बोरोन,boron,Boron
निकालने,nikālne,Delete
घूम,ghūm,Wander
गुस्सा,gussā,Anger
क्षति,kṣati,Damage
उठती,uṭhtī,Raising
अरब,arab,Arab
अत्यंत,atyant,Extremely
अक्षर,akṣar,Letter
संस्थानों,sansthānõ,Institutions
सुपर,supar,Super
संगठनों,saṅgaṭhnõ,Organizations
विशेषकर,viśeṣkar,Especially
वेद,ved,Veda
महाराजा,mahārājā,King
भरत,bharat,Bharat
बोझ,bojh,Burden
बादल,bādal,Cloud
बयान,bayān,Statement
पत्तियां,pattiyā̃,Leaves
चढ़,caṛh,Climbing
उम्मीद,ummīd,Hope
उपेक्षा,upekṣā,Ignore
सिद्धान्तों,siddhāntõ,Principles
स्व,sva,Self
सुनते,sunte,Hearing
सकते,sakte,Can
रबड़,rabaṛ,rubber
मेल,mel,Match
मेकअप,mekaap,Makeup
भूत,bhūt,Evil spirit
बनते,bante,Bun
प्रशंसा,praśansā,Appreciation
प्रतिदिन,pratidin,daily
पूछ,pūch,Ask
दबाव,dabāv,Pressure
दण्ड,daṇḍ,Punishment
टुकड़े,ṭukṛe,pieces
गहराई,gahrāī,depth
खींच,khīñc,Stretch
उर्वरक,urvarak,Fertilizer
हिंसा,hinsā,violence
साधना,sādhnā,meditation
सेवाओं,sevāõ,Services
सर्वथा,sarvathā,Utterly
लेखन,lekhan,Writing
परेशानी,pareśānī,Trouble
प्रताप,pratāp,Pratap
पेड़ों,peṛõ,Trees
चेष्टा,ceṣṭā,effort
व्याकरण,vyākraṇ,grammar
लाइसेंस,lāisens,License
ललित,lalit,Lalit
रूस,rūs,Russia
मील,mīl,Mile
बर्फ,barph,Ice
पाप,pāp,Sin
पुत्री,putrī,Daughter
दफ्तर,daphtar,Workplace
जानवर,jānvar,Animal
गाने,gāne,Songs
कार्यकर्ता,kāryakartā,Worker
कलाकारों,kalākārõ,Artists
करता,kartā,Do
उत्पाद,utpād,product
आएँ,āẽ,Come
सोचते,socte,Thinking
सीख,sīkh,Learn
सास,sās,Mother in law
वीणा,vīṇā,Veena
यूरेनियम,yūreniyam,Uranium
मौलिक,maulik,fundamental
मारने,mārne,Kill
मुहम्मद,muhammad,Muhammad
बिल,bil,Bill
बचत,bacat,Savings
प्रावधान,prāvdhān,Provision
पचास,pacās,fifty
नागरिक,nāgrik,citizen
नेहरू,nehrū,Nehru
देन,den,Din
गिरने,girne,Fall
गहरे,gahre,Deep
उपन्यास,upanyās,Novel
इलाके,ilāke,the areas
आन्तरिक,āntarik,Internal
हिन्दुस्तान,hindustān,Hindustan
संसद,sansad,Parliament
स्वीकृति,svīkŕti,Acceptance
संपर्क,sampark,Contact
विभाजन,vibhājan,Division
लौटने,lauṭne,Return
यूरोप,yūrop,Europe
मंच,mañc,stage
भाग्य,bhāgya,Luck
बेहद,behad,Extremely
बुलाया,bulāyā,called
पाए,pāe,Found
प्रयोगशाला,prayogśālā,the laboratory
प्रमाणित,pramāṇit,Certified
प्रभावशाली,prabhāvśālī,Impressive
जीत,jīt,Victory
जानवरों,jānavrõ,Animals
गुस्से,gusse,Anger
गर्दन,gardan,Neck
गुरू,gurū,Guru
अधिकतम,adhiktam,Maximum
सृष्टि,sŕṣṭi,Nature
शिक्षित,śikṣit,Educated
शहद,śahad,Honey
वरन,varan,Varan
रोम,rom,Rome
बदन,badan,body
फैला,phailā,Splash
फेंक,pheṅk,Throw
पिछड़े,pichṛe,Backward
परिश्रम,pariśram,labor
परिवारों,parivārõ,Families
परिभाषा,paribhāṣā,Definition
प्रारम्भिक,prārambhik,Initial
पुरुषों,puruṣõ,Men
निरीक्षण,nirīkṣaṇ,inspection
दास,dās,Slave
देव,dev,God
ताकत,tākat,Strength
तंत्र,tantra,Mechanism
तत्कालीन,tatkālīn,contemporaneous
तकनीक,taknīk,Technique
चलाने,calāne,Run
गठन,gaṭhan,Build
अनुभूति,anubhūti,Feeling
हिन्दुओं,hinduõ,Hindus
हिंदू,hindū,Hindu
हालांकि,hālāṅki,Although
सामूहिक,sāmūhik,the collective
सरकारों,sarkārõ,Governments
संयंत्र,sãyantra,plant
सुंदर,sundar,Beautiful
सृजन,sŕjan,Creation
वैसी,vaisī,Likely
लावनी,lāvnī,Lavani
लक्षणों,lakṣaṇõ,Symptoms
राहुलजी,rāhuljī,Rahul ji
युवा,yuvā,Youth
मूर्ति,mūrti,statue
बेर,ber,Berry
पाण्डु,pāṇḍu,Pandu
ध्रुपद,dhrupad,Dhrupad
तथ्यों,tathyõ,Facts
ढेर,ḍher,heap
जायें,jāyẽ,Go
ग्रन्थों,granthõ,Scriptures
गणित,gaṇit,Mathematic
कहानियों,kahāniyõ,Stories
अशोक,aśok,Ashoka
साबित,sābit,Proven
समझना,samajhnā,Understand
संज्ञा,sañgyā,Noun
शांत,śānt,Calm
श्रीलंका,śrīlaṅkā,Sri Lanka
श्रमिक,śramik,Laborer
शर्त,śart,Condition
लिपि,lipi,Script
मानवीय,mānvīya,human
पक्षियों,pakṣiyõ,Birds
निवासी,nivāsī,Resident
तुलनात्मक,tulnātmak,Comparative
चमक,camak,Glow
गोल,gol,Round
खाकर,khākar,after eating
कोट,koṭ,Coat
इंच,iñc,Inch
आसन,āsan,Posture
अकेला,akelā,alone
शर्मा,śarmā,Sharma
विश्वविद्यालय,viśvavidyālay,university
विधायक,vidhāyak,Legislator
वर्मा,varmā,Varma
वैद्य,vaidya,Vaidya
राजस्थानी,rājasthānī,Rajasthani
मानना,mānnā,Accept
भरपूर,bharpūr,abundant
भगत,bhagat,follower
बस्ती,bastī,colony
बैठने,baiṭhne,Sit
प्रतिभा,pratibhā,Talent
प्रजा,prajā,People
प्रकोप,prakop,the outbreak
नायक,nāyak,hero
दोस्त,dost,Friend
तिवारी,tivārī,Tiwari
घड़ी,ghaṛī,Watch
गलती,galtī,Mistake
कार्बन,kārban,Carbon
उपचार,upcār,treatment
ईसाई,īsāī,Christian
आवेदन,āvedan,Application
आयुर्वेद,āyurved,Ayurveda
आदर,ādar,Respect
अत्याचार,atyācār,Atrocity
हिमालय,himālay,Himalaya
हंस,hans,Swan
सोचता,soctā,Thinking
विश्वनाथ,viśvanāth,Vishwanath
वेतन,vetan,Salary
मथुरा,mathurā,Mathura
भाभी,bhābhī,Sister in law
भेजे,bheje,Sent
ब्यूरो,byūro,Bureau
बनती,bantī,Manufacture
पक्षों,pakṣõ,Sides
घरेलू,gharelū,domestic
गणना,gaṇnā,Calculation
कहलाता,kahlātā,Calling
कलावती,kalāvtī,Kalavati
करना,karnā,to do
उदाहरणार्थ,udāharṇārth,For example
उड़,uṛ,Flying
आघात,āghāt,the strokes
हमला,hamlā,assault
व्यावसायिक,vyāvsāyik,commercial
लोकप्रिय,lokapriy,popular
रेलवे,relve,railway
मिश्रित,miśrit,miscellaneous
महान,mahān,Great
मेहनत,mehnat,Hard work
बिन्दु,bindu,the dot
फलतः,phaltaḥ,Consequently
प्रोफेसर,prophesar,Professor
प्रचलन,praclan,the trend
औसत,ausat,average
एकाएक,ekāek,Suddenly
उपस्थिति,upasthiti,appearance
उन्नति,unnati,Development
आधे,ādhe,Half
अली,alī,Ali
सरस्वती,sarasvatī,Saraswati
समर्थ,samarth,Capable
सम्भवतः,sambhavtaḥ,Probably
सड़कों,saṛkõ,Roads
विशेषज्ञ,viśeṣagya,expert
विद्रोह,vidroh,Rebellion
वात,vāt,vata
व्यस्त,vyast,Busy
लाकर,lākar,Lacquer
राव,rāv,Rao
योजनाओं,yojnāõ,Plans
मंत्र,mantra,mantra
बताने,batāne,tell
बताते,batāte,Telling
प्रश्नों,praśnõ,Questions
पकड़ा,pakṛā,caught
नोट,noṭ,Note
निवेदन,nivedan,Request
न्याय,nyāy,Justice
धूल,dhūl,dust
दाने,dāne,Grain
दान,dān,Donation
देवीगढ़,devīgaṛh,Devigarh
तरल,taral,liquid
कोरियाई,koriyāī,Korean
किलोमीटर,kilomīṭar,Kilometer
किताब,kitāb,Book
क्षमा,kṣamā,Forgiveness
इंजन,iñjan,engine
आए,āe,Returns
असफल,asphal,fail
हल्की,halkī,Mild
सावित्री,sāvitrī,Savitri
सरदार,sardār,Sardar
सगर्भता,sagarbhatā,Sarcasia
शुभ,śubh,auspicious
लहर,lahar,Wave
लेखा,lekhā,Account
मासिक,māsik,Monthly
मद्रास,madrās,Madras
मंगल,maṅgal,Fortunate
भली,bhalī,Good
भेजने,bhejne,Send
बिजलीघर,bijlīghar,Electricity house
बनाता,banātā,Create
पवित्र,pavitra,Holy
परिषद,pariṣad,council
परि,pari,fairy
पूछा,pūchā,Asked
नौकर,naukar,Servant
निकालकर,nikālkar,by removing
नासिक्य,nāsikya,Nashikya
तापमान,tāpmān,temperature
तरीका,tarīkā,Method
झूठ,jhūṭh,Lie
जाती,jātī,Jet
छुट्टी,chuṭṭī,Holiday
घाट,ghāṭ,Ghat
गोबर,gobar,Cow dung
कामों,kāmõ,Works
कश्मीर,kaśmīr,Kashmir
ऊंची,ūñcī,Tall
उन्नत,unnat,Advanced
आजाद,ājād,Azad
आग्रह,āgrah,request
अमृतसर,amŕtsar,Amritsar
अनु,anu,Anu
अद्भुत,adbhut,Wonderful
अतः,ataḥ,Therefore
सिखों,sikhõ,Learn
साधु,sādhu,Saint
संदेश,sandeś,Message
लिखित,likhit,written
लेप,lep,Paste
मर्यादा,maryādā,dignity
मेज,mej,Table
मुख्यतः,mukhyataḥ,Mainly
भाजपा,bhājpā,B J P
बेकार,bekār,Useless
पैदावार,paidāvār,yield
नाश,nāś,Destruction
दलों,dalõ,Parties
जापान,jāpān,Japan
गोपाल,gopāl,Gopal
कोशिकाओं,kośikāõ,Cells
काटने,kāṭne,Cutting
कूद,kūd,Jump
उपदेश,updeś,Sermon
उड़ान,uṛān,flight
अंतरिक्ष,antrikṣ,space
सहसा,sahsā,Suddenly
व्यास,vyās,Diameter
मित्रों,mitrõ,Friends
भोग,bhog,Indulgence
बुला,bulā,Call
प्रातः,prātaḥ,In the morning
पढ़ा,paṛhā,Read
पढ़ते,paṛhte,Reading
घोड़ा,ghoṛā,Horse
गुफा,guphā,Cave
खुल,khul,Open
खुराक,khurāk,diet
उपायों,upāyõ,Measures
उपयोगिता,upyogitā,utility
इलाज,ilāj,Treatment
आवाज़,āvāz,sound
आलू,ālū,Potato
हटा,haṭā,Remove
स्वस्तिक,svastik,Swastika
समीक्षा,samīkṣā,Review
संक्रमण,saṅkramaṇ,Infection
सैकड़ों,saikṛõ,Hundreds
शोर,śor,Noise
शब्दावली,śabdāvlī,vocabulary
यौगिक,yaugik,compound
मना,manā,deny
मंडल,maṇḍal,Board
बचने,bacne,Escape
प्रेमनाथ,premnāth,Premnath
परम,param,Supreme
निधि,nidhi,Fund
नेताजी,netājī,Netaji
चुनौती,cunautī,challenge
गौतम,gautam,Gautam
खिड़की,khiṛkī,window
किस्में,kismẽ,Varieties
करते,karte,Do
कटाई,kaṭāī,Harvesting
असाधारण,asādhāraṇ,Extraordinary
स्मरण,smaraṇ,Reconciliation
समग्र,samagra,Overall
सुनी,sunī,Listening
रेडियो,reḍiyo,radio
मामूली,māmūlī,Mild
बीमार,bīmār,Sick
फायदा,phāydā,Benefit
पुराणों,purāṇõ,Puranas
प्रस्तावों,prastāvõ,Proposals
प्रधानता,pradhāntā,Primacy
पन्द्रह,pandrah,Fifteen
नाव,nāv,boat
तुल्फ,tulph,Tulf
तत्काल,tatkāl,Immediately
जोड़ा,joṛā,couple
चाल,cāl,move
चूहे,cūhe,mice
चलना,calnā,Walking
गाया,gāyā,Sung
गला,galā,throat
खैर,khair,well
कोर्ट,korṭ,Court
कराना,karānā,Do
कंपनी,kampnī,company
इसने,isne,He
इनको,inko,To them
अर्थव्यवस्था,arthavyavasthā,economy
अंचल,añcal,Zone
हल्का,halkā,Light
सुनिश्चित,suniścit,ensure
वरना,varnā,Otherwise
बुनियादी,buniyādī,Basic
दैनिक,dainik,Daily
जुड़े,juṛe,Linked
घुस,ghus,Penetration
खुली,khulī,open
कुमार,kumār,Kumar
कुमाऊँ,kumāū̃,Kumaon
आंगन,āṅgan,Courtyard
